iter	RMSE
0	1399584.916
1	1336384.618
2	1274796.706
3	1219302.554
4	1165737.98
5	1113268.222
6	1063226.566
7	1016237.589
8	972366.4344
9	929211.4586
10	889853.8233
11	852580.7702
12	817375.0868
13	784659.9494
14	753070.7566
15	723307.1153
16	695187.2231
17	668259.9447
18	644204.7338
19	620235.1781
20	599410.627
21	577815.4595
22	557625.0954
23	538919.8981
24	520212.6539
25	502812.4119
26	486129.1217
27	470857.7171
28	456898.1958
29	443158.2161
30	430986.3686
31	419377.7955
32	408459.2719
33	398045.4773
34	388992.2483
35	379364.744
36	370235.5706
37	362070.7791
38	354137.0358
39	345988.3001
40	339839.7532
41	333354.0417
42	326890.4927
43	320942.7405
44	314869.5772
45	309708.0322
46	303983.1409
47	298025.9527
48	292970.044
49	288584.6025
50	284614.576
51	280691.6594
52	276697.765
53	272720.3222
54	269357.7931
55	266211.5943
56	262249.2772
57	258965.6054
58	256044.7839
59	252909.4754
60	249959.512
61	247066.7395
62	244372.7363
63	241010.3708
64	238421.2276
65	236060.1469
66	233337.1291
67	230884.6987
68	228701.1103
69	226375.4299
70	225001.8104
71	223777.428
72	220763.3149
73	219365.1759
74	217040.2521
75	215424.0797
76	213573.7457
77	211905.8739
78	210621.8534
79	209095.4152
80	207167.6148
81	205172.179
82	203802.6485
83	202435.4877
84	200333.6544
85	199168.0477
86	197482.104
87	196141.2278
88	194765.2921
89	194086.7832
90	192578.7629
91	191461.3692
92	190673.9008
93	189672.6916
94	188168.0875
95	186943.8623
96	185737.768
97	184504.2824
98	182822.459
99	181531.7923
100	180538.3922
101	179124.6797
102	177913.8292
103	176883.4712
104	175524.8367
105	174431.6166
106	173117.6967
107	171539.2223
108	170631.3121
109	169503.2392
110	168525.6728
111	167759.4201
112	166982.8971
113	166318.5286
114	165568.7759
115	164714.4181
116	163434.4845
117	162577.9018
118	161509.5122
119	160415.0055
120	159881.6977
121	158855.9624
122	158480.5967
123	157610.2334
124	156839.1569
125	156123.4401
126	154844.9764
127	153327.3528
128	152029.1462
129	151590.3536
130	151013.0149
131	150664.0906
132	149710.0752
133	149410.9445
134	148810.1209
135	147900.5244
136	147084.4287
137	146525.1404
138	146159.816
139	145367.8472
140	144821.2255
141	143696.4596
142	143099.9129
143	142459.4387
144	141457.4561
145	140516.1051
146	140002.0808
147	139702.9295
148	139078.259
149	138315.5088
150	137270.5902
151	136521.8193
152	135875.0202
153	135289.084
154	134976.0915
155	133942.6825
156	133533.2896
157	133254.4141
158	132549.4045
159	132259.0764
160	131322.6418
161	130873.7092
162	130657.1079
163	129919.8398
164	129240.5265
165	129050.0184
166	128547.1813
167	128285.619
168	127470.3329
169	126925.9085
170	126395.8267
171	125821.172
172	125572.9014
173	125162.1654
174	124666.6511
175	124458.9106
176	124132.6461
177	123651.0037
178	122816.4555
179	122420.1933
180	122143.8924
181	121748.9436
182	121175.9112
183	120317.4101
184	119778.2228
185	119512.6646
186	119294.4527
187	119090.4452
188	118886.4619
189	118691.7285
190	118365.6852
191	118075.8352
192	117738.1299
193	117170.6795
194	116313.1683
195	116153.8336
196	115973.9723
197	115120.4646
198	114927.0172
199	114653.4763
200	114062.5791
201	113831.9135
202	113254.8669
203	112850.2551
204	112624.2201
205	112272.8768
206	111998.7165
207	111534.3789
208	111300.8361
209	110946.6804
210	110617.8316
211	110186.9383
212	110004.0195
213	109716.5425
214	109469.256
215	109304.6382
216	109068.4105
217	108850.9536
218	108707.3053
219	108476.3527
220	108291.9026
221	108161.2641
222	107729.6234
223	107532.611
224	107388.1435
225	106630.4571
226	106463.9901
227	106204.8589
228	105718.4552
229	105534.5176
230	105357.1138
231	105168.8003
232	104780.6544
233	104110.6352
234	103961.0046
235	103389.2263
236	103122.3711
237	102952.2923
238	102757.151
239	102590.4828
240	102444.5074
241	101792.8736
242	101126.262
243	100895.9914
244	100578.1087
245	100501.9392
246	100412.1617
247	99726.14023
248	99128.62891
249	98980.31004
250	98448.9997
251	98085.93044
252	97439.23247
253	97284.57403
254	97151.32706
255	96594.86733
256	96025.89228
257	95430.3723
258	95206.70505
259	94614.92608
260	94395.99004
261	94270.01034
262	93767.12621
263	93289.63237
264	92926.86274
265	92167.40858
266	91602.57822
267	90938.99143
268	90298.34029
269	89592.76382
270	89260.55217
271	88582.68607
272	88165.44828
273	87591.26152
274	87041.88252
275	86755.49654
276	86638.54382
277	86510.02292
278	86304.35695
279	85823.60268
280	85422.82692
281	85300.46876
282	85016.84533
283	84833.80552
284	84263.53536
285	84113.84179
286	83629.89598
287	83168.777
288	83037.55364
289	82597.87019
290	82345.61405
291	82199.485
292	81810.34684
293	81673.29146
294	81198.65184
295	81134.65862
296	80683.27855
297	80594.40878
298	80154.63513
299	80064.74702
300	79941.89197
301	79522.36454
302	79400.85487
303	79257.88358
304	79157.37742
305	79073.1846
306	78957.29276
307	78840.04081
308	78548.68167
309	78086.82406
310	77974.04156
311	77896.19807
312	77462.68095
313	77234.74127
314	76801.07227
315	76584.71659
316	76475.27668
317	76268.81689
318	76109.0495
319	75716.1935
320	75331.63517
321	74938.37381
322	74574.90675
323	74201.05792
324	73847.037
325	73689.50367
326	73582.31505
327	73529.42435
328	73468.52044
329	73409.50373
330	73256.6045
331	72767.5495
332	72717.70776
333	72559.06659
334	72461.10576
335	72035.39595
336	71592.73749
337	71179.31325
338	71078.28244
339	70741.65899
340	70693.08407
341	70644.22571
342	70543.0972
343	70291.55021
344	70145.84245
345	70102.27868
346	69720.9968
347	69678.62683
348	69549.2648
349	69508.32907
350	69142.74949
351	69105.08973
352	69068.37444
353	68947.67429
354	68743.48815
355	68385.86823
356	68133.54149
357	67952.11282
358	67913.94645
359	67817.15311
360	67704.10543
361	67518.99083
362	67149.87103
363	66981.47848
364	66873.65705
365	66572.34992
366	66537.32209
367	66503.1765
368	66173.39379
369	66139.94234
370	66107.33408
371	66073.60683
372	65718.57803
373	65457.52
374	65393.58933
375	65216.95361
376	65101.1513
377	64853.51497
378	64794.87365
379	64714.89889
380	64683.64029
381	64489.19814
382	64027.35147
383	63670.44443
384	63369.26574
385	63337.35982
386	63316.89648
387	62985.61668
388	62954.87271
389	62617.85176
390	62555.71236
391	62467.81709
392	62408.6159
393	62176.59458
394	62002.53954
395	61939.81899
396	61679.68662
397	61465.15134
398	61335.29801
399	61110.91692
400	61026.33029
401	60995.21836
402	60633.49688
403	60540.39178
404	60454.9525
405	60362.68841
406	60332.8231
407	60217.08506
408	60137.3424
409	60079.47461
410	59821.74598
411	59793.51737
412	59714.69085
413	59637.73997
414	59612.4671
415	59268.47332
416	59075.04386
417	58997.907
418	58973.08417
419	58919.63228
420	58845.80467
421	58759.01443
422	58519.43466
423	58495.15105
424	58165.54165
425	57990.1537
426	57919.3113
427	57741.95648
428	57576.59222
429	57552.90115
430	57473.85792
431	57396.05225
432	57372.97854
433	57216.96231
434	57096.6457
435	56782.89935
436	56633.5623
437	56520.45792
438	56455.32734
439	56319.41802
440	56161.3096
441	56031.48247
442	55963.7411
443	55693.34397
444	55524.37454
445	55501.82682
446	55440.2213
447	55280.76844
448	55216.49582
449	55020.3932
450	54750.49021
451	54521.16748
452	54395.42781
453	54334.95337
454	54245.67835
455	54131.63405
456	54013.5562
457	53875.71041
458	53857.32029
459	53778.74942
460	53563.74337
461	53487.84141
462	53374.28471
463	53268.54697
464	53016.74686
465	52814.73148
466	52707.40618
467	52628.65977
468	52528.68026
469	52428.31624
470	52327.45972
471	52158.74543
472	51933.15244
473	51681.0044
474	51526.53132
475	51445.78437
476	51094.12384
477	50982.417
478	50839.19909
479	50788.55759
480	50697.36191
481	50620.74174
482	50509.90507
483	50470.84066
484	50397.11152
485	50325.74591
486	50116.61755
487	50024.37106
488	49924.50369
489	49724.83716
490	49659.23919
491	49614.38214
492	49567.78216
493	49375.92514
494	49325.38339
495	49141.44389
496	49014.75716
497	48790.54263
498	48679.64464
499	48557.04359
500	48489.71076
501	48276.203
502	48186.28538
503	48132.75358
504	47863.52531
505	47707.32616
506	47687.64429
507	47429.32637
508	47214.11666
509	47169.14716
510	47020.41944
511	46954.61949
512	46890.76246
513	46716.36869
514	46524.60281
515	46510.38867
516	46184.394
517	46120.23452
518	46064.63445
519	46008.44631
520	45917.83252
521	45833.65398
522	45771.56037
523	45709.48873
524	45556.91264
525	45518.37821
526	45484.05861
527	45424.54624
528	45279.43392
529	45193.63555
530	45143.78041
531	45086.21671
532	45038.18685
533	44982.38277
534	44914.99369
535	44689.93964
536	44426.69794
537	44289.26041
538	44257.3123
539	44052.52028
540	43890.18456
541	43875.03106
542	43865.66276
543	43851.07179
544	43686.93663
545	43667.94121
546	43600.92588
547	43591.78205
548	43550.60376
549	43360.25435
550	43233.08159
551	43188.79028
552	43157.29405
553	43117.84
554	43083.56235
555	43051.29744
556	43013.10797
557	42999.3564
558	42819.4693
559	42800.40006
560	42763.77595
561	42626.55693
562	42608.22845
563	42447.40571
564	42412.23071
565	42381.21872
566	42344.77772
567	42178.23033
568	42051.83802
569	41923.73317
570	41762.66292
571	41641.7311
572	41600.18179
573	41476.178
574	41337.41711
575	41034.25364
576	41004.7439
577	40710.91314
578	40699.00355
579	40414.17036
580	40402.68764
581	40315.47945
582	40304.39413
583	40262.46501
584	40245.50978
585	40212.68186
586	40196.38748
587	40180.50515
588	40067.80128
589	40036.41276
590	40002.12126
591	39972.92262
592	39890.68802
593	39863.7607
594	39746.95271
595	39590.09623
596	39429.11872
597	39353.00114
598	39268.97444
599	39228.79656
600	39089.70559
601	39062.64949
602	39037.34771
603	39022.08002
604	39007.20028
605	38968.34109
606	38827.62096
607	38647.84797
608	38614.9671
609	38490.17221
610	38357.35618
611	38272.45829
612	38190.7201
613	38121.47524
614	38038.8054
615	37988.94424
616	37965.64492
617	37836.98638
618	37800.37403
619	37721.49761
620	37685.77867
621	37638.25484
622	37528.00385
623	37482.32202
624	37458.43712
625	37410.06155
626	37366.26172
627	37343.13244
628	37220.13653
629	37147.59972
630	37045.71267
631	36978.08267
632	36833.00672
633	36732.68568
634	36686.58342
635	36680.38532
636	36658.28299
637	36613.7136
638	36493.81027
639	36353.89949
640	36339.76873
641	36198.25203
642	36184.43537
643	36144.45604
644	36079.49924
645	35805.0556
646	35766.98944
647	35653.42539
648	35588.58753
649	35535.40092
650	35428.04428
651	35357.86038
652	35255.13024
653	35144.70227
654	35040.39999
655	34817.99477
656	34777.37623
657	34677.87107
658	34568.47051
659	34438.22191
660	34425.33464
661	34212.27116
662	34056.94758
663	34051.25069
664	33957.48597
665	33918.21235
666	33828.44484
667	33811.30153
668	33773.21656
669	33691.13573
670	33594.08788
671	33461.42147
672	33366.65851
673	33259.155
674	33168.73788
675	33132.01806
676	33110.81265
677	33025.43624
678	32920.72806
679	32888.00436
680	32868.27138
681	32859.82042
682	32834.25586
683	32734.20858
684	32678.94924
685	32670.87478
686	32549.57115
687	32541.69441
688	32344.73265
689	32310.20431
690	32122.70103
691	31822.47015
692	31774.60637
693	31728.22439
694	31683.27621
695	31526.86073
696	31515.18433
697	31503.80412
698	31478.88152
699	31466.00453
700	31421.98252
701	31409.44319
702	31366.75559
703	31185.98996
704	31174.98132
705	31092.75226
706	31051.55602
707	30876.93312
708	30681.58897
709	30657.79269
710	30620.77786
711	30610.72855
712	30574.94171
713	30446.77996
714	30412.07906
715	30319.63721
716	30254.77404
717	30088.20555
718	29904.71546
719	29780.23113
720	29763.89689
721	29730.72826
722	29644.50161
723	29634.75927
724	29585.07974
725	29504.12118
726	29461.85061
727	29436.9294
728	29396.10982
729	29374.5621
730	29335.12941
731	29258.14465
732	29116.82555
733	29092.18748
734	29066.11236
735	29042.667
736	29010.90758
737	28980.15686
738	28965.16491
739	28949.65067
740	28789.60714
741	28716.47993
742	28638.37221
743	28616.0682
744	28597.14779
745	28559.67165
746	28525.83522
747	28416.75094
748	28407.72212
749	28371.53092
750	28362.7272
751	28292.51794
752	28173.38045
753	28147.34027
754	28030.77907
755	27942.98451
756	27808.83695
757	27731.63262
758	27711.10942
759	27698.92147
760	27585.27486
761	27547.30721
762	27535.58777
763	27468.19811
764	27318.30383
765	27300.66126
766	27238.76248
767	27168.59616
768	27097.58345
769	27021.18634
770	27012.9927
771	26993.29547
772	26985.43241
773	26959.90156
774	26887.72924
775	26831.9809
776	26824.38087
777	26807.18039
778	26715.48862
779	26692.92294
780	26680.24261
781	26627.79837
782	26611.1889
783	26580.06522
784	26555.80833
785	26493.58999
786	26431.86458
787	26410.40988
788	26324.69994
789	26308.92794
790	26188.06013
791	26158.58351
792	26137.44698
793	26119.90914
794	26052.97476
795	25994.36906
796	25971.00202
797	25907.62944
798	25873.20902
799	25850.57513
800	25830.10956
801	25815.70543
802	25788.61145
803	25766.4329
804	25741.27447
805	25630.95112
806	25592.89175
807	25530.47788
808	25511.44574
809	25455.35663
810	25429.63644
811	25410.96815
812	25373.00386
813	25228.01407
814	25209.68768
815	25185.02905
816	25091.86525
817	25071.47321
818	24939.25375
819	24921.65787
820	24818.74949
821	24801.45195
822	24776.42291
823	24743.4827
824	24667.74109
825	24651.34278
826	24598.28694
827	24577.73539
828	24505.34713
829	24454.73449
830	24402.2608
831	24353.10528
832	24279.99531
833	24276.63965
834	24152.51172
835	24083.13534
836	24065.13605
837	23913.18057
838	23819.71613
839	23816.49153
840	23782.42982
841	23748.78096
842	23716.50097
843	23699.35033
844	23551.89006
845	23486.97095
846	23340.93764
847	23318.28968
848	23301.50078
849	23263.94144
850	23234.15361
851	23224.05613
852	23162.1161
853	23099.6117
854	23082.30519
855	23046.97921
856	23030.48719
857	22919.87167
858	22773.96176
859	22746.03457
860	22584.33718
861	22557.04724
862	22399.67968
863	22246.73538
864	22230.28251
865	22172.2725
866	22155.81863
867	22101.46681
868	21971.30771
869	21877.97059
870	21720.32494
871	21609.9132
872	21592.62068
873	21565.14134
874	21558.88384
875	21549.78126
876	21534.59544
877	21508.70824
878	21453.06896
879	21423.58943
880	21391.65286
881	21370.53925
882	21317.05764
883	21246.13769
884	21227.90058
885	21185.61191
886	21170.27644
887	21111.58556
888	21068.40917
889	21012.80297
890	21003.92695
891	20948.48456
892	20869.60176
893	20846.38477
894	20827.81965
895	20802.99547
896	20778.81142
897	20765.35539
898	20735.09936
899	20712.09666
900	20663.534
901	20654.59656
902	20651.07083
903	20515.12393
904	20475.5882
905	20433.96656
906	20414.31059
907	20394.80086
908	20312.27951
909	20287.49871
910	20264.96144
911	20234.8331
912	20205.66158
913	20196.64673
914	20073.71634
915	19959.0104
916	19948.70561
917	19880.67141
918	19876.97484
919	19758.37401
920	19733.36591
921	19714.50982
922	19697.05464
923	19568.41389
924	19453.6438
925	19429.80566
926	19406.73915
927	19341.05305
928	19317.3992
929	19301.39501
930	19285.79344
931	19282.14458
932	19272.29535
933	19269.21324
934	19246.60809
935	19224.81377
936	19112.26643
937	19097.33897
938	19083.70505
939	19021.54515
940	18993.96059
941	18934.37953
942	18916.557
943	18904.83309
944	18893.41677
945	18847.96699
946	18801.56098
947	18789.62558
948	18775.92879
949	18749.05332
950	18737.3629
951	18672.19872
952	18590.9857
953	18542.66502
954	18531.30284
955	18452.68294
956	18360.13579
957	18354.56129
958	18340.28651
959	18323.97872
960	18240.83378
961	18148.03964
962	18057.63491
963	18018.58096
964	17930.26971
965	17896.34497
966	17836.90685
967	17761.68254
968	17751.04322
969	17715.0688
970	17630.82217
971	17605.97411
972	17585.59037
973	17530.74529
974	17517.69489
975	17505.04358
976	17474.441
977	17456.1591
978	17420.87281
979	17408.45133
980	17375.30052
981	17365.12381
982	17348.17002
983	17276.4058
984	17212.77954
985	17122.52513
986	17107.63419
987	17096.56
988	17008.83863
989	16998.20851
990	16984.18207
991	16898.90837
992	16888.88172
993	16884.12075
994	16807.95685
995	16798.39227
996	16751.20722
997	16746.64236
998	16733.50903
999	16729.19353
